,loan_amnt,fico,loan_age_in_months,annual_inc,logged_inc,delinq_2yrs,mths_since_last_delinq
491,19205.63,499.0,63,52492.78097759674,10.868430933936377,0.0,-1
492,15835.49,576.0,9,23404.435660792948,10.060680841535461,0.0,-1
493,25899.99,572.0,8,40699.984285714294,10.613982985330226,0.0,-1
494,16288.28,503.0,7,52735.516911942104,10.873044452728516,0.0,-1
495,16414.99,522.0,8,28369.499781068902,10.25306989567949,0.0,-1
496,19200.0,554.0,8,28773.19932998325,10.267199654046733,24.0,3
497,14496.55,469.0,7,29166.971664167915,10.280792240680107,19.2,5
498,28345.24,570.0,7,47968.8676923077,10.778307489721119,0.0,-1
499,19075.0,587.0,7,37839.83739837399,10.541117726073443,0.0,-1
500,20587.75,549.0,7,31201.310559006208,10.348215378011737,0.0,-1
501,18938.94,526.0,7,33093.82484375,10.407101983348776,0.0,-1
502,24920.57,543.0,7,50748.71766312595,10.834641628863144,0.4,6
503,18376.88,560.0,7,30259.84412269939,10.317576836063362,0.0,-1
504,13615.0,580.0,8,28196.496913580242,10.246953026287212,0.0,-1
505,20358.0,527.0,7,32524.328571428567,10.389743659706554,0.0,-1
506,24351.46,580.0,7,35931.456096756454,10.48936840521896,12.0,6
507,11690.0,521.0,7,20792.55135851557,9.942350093789837,0.0,-1
508,27034.05,473.0,7,53235.06250917094,10.882472527959925,1.2413793103448276,4
509,23923.91,495.0,6,45702.33056227757,10.729904572568374,0.0,-1
510,17835.82,547.0,7,40985.73705479452,10.620979408450976,0.39344262295081966,6
511,18810.33,537.0,6,37733.128340807176,10.538293723404232,0.0,-1
512,19616.0,513.0,6,46183.63508771929,10.74038079543897,0.0,-1
513,24020.13,517.0,6,42554.47453465346,10.658540287923968,0.0,-1
514,13334.78,560.0,6,25916.40081100651,10.162631283224545,0.0,-1
515,16718.78,534.0,7,35585.412783505155,10.479691079595984,0.0,-1
516,16347.25,533.0,6,51078.01979045402,10.841109542567576,0.0,-1
517,17640.0,601.0,6,65666.79611650485,11.092348690367405,6.0,5
518,27068.0,463.0,8,38237.11157894737,10.551561830289156,0.0,-1
520,24226.87,579.0,6,58846.08061538461,10.982680510901917,0.0,-1
521,25090.37,589.0,6,59542.48725022103,10.994445408138304,6.0,5
522,18210.96,491.0,6,47779.2929032258,10.774347621758695,0.0,-1
523,30664.59,583.0,6,49165.92566308244,10.802956094720988,0.0,-1
524,31270.91,506.0,6,59567.8654648687,10.994871537596461,24.0,5
525,22634.0,552.0,6,54386.44225604297,10.903870178548258,0.0,-1
526,22151.25,557.0,6,52015.70866141733,10.859301041586317,0.0,-1
527,16904.8,505.0,6,41895.18301015697,10.642926135343298,12.0,3
528,16892.0,505.0,6,48698.31149301826,10.79339963686834,9.6,4
529,21851.0,579.0,6,30529.976054138468,10.326464301389883,0.0,-1
530,7900.0,581.0,6,29990.94766619519,10.308650870650112,0.0,-1
531,10237.18,509.0,6,33104.32665060241,10.407419267342465,6.0,3
532,16656.72,527.0,6,29200.938262573483,10.281956120020057,6.0,5
533,15966.99,561.0,6,25120.399273153576,10.131435515087727,24.0,4
534,11324.0,528.0,6,33770.68444444444,10.427348380999051,0.0,-1
535,16264.78,495.0,6,48830.726532438486,10.796115035758012,0.0,-1
536,15085.0,449.0,5,22393.88274336284,10.016543108732613,4.8,5
537,28987.14,485.0,5,70922.04536007292,11.169336600156827,12.0,5
538,17653.14,560.0,5,43548.73875,10.681636020896864,0.0,-1
539,27111.16,566.0,6,39058.69749865809,10.572820857706166,12.0,5
540,24277.92,580.0,5,40173.820764488286,10.600970837704187,4.8,4
541,12235.9,487.0,6,26168.25147410358,10.17230217915766,0.0,-1
542,19795.0,508.0,6,37814.79003558719,10.540455575863957,0.0,-1
543,12932.76,594.0,6,18632.060032206122,9.832639033553733,0.41379310344827586,5
545,22370.63,581.0,7,53858.195385996405,10.894109860159933,0.0,-1
546,29627.7,609.0,5,47242.265992865636,10.763044236833741,2.0869565217391304,4
547,15516.3,482.0,61,64196.29675925925,11.06970080513675,18.0,59
548,13033.97,529.0,61,29917.87120719178,10.306211280064915,30.0,56
549,20199.0,500.0,63,56705.25549738219,10.94562217496862,0.4067796610169492,61
551,15794.16,558.0,62,27621.7501369863,10.226358789799637,0.0,-1
552,13641.43,585.0,62,31637.261098615912,10.362090853615573,0.0,-1
553,9670.48,502.0,62,22132.26848847139,10.00479193517844,0.0,-1
555,13838.71,564.0,7,55437.58266068759,10.923013030111704,0.0,-1
556,19590.59,540.0,6,40731.40512024826,10.614754698457622,0.0,-1
557,11481.92,584.0,60,55825.886896551725,10.929992963667726,0.0,-1
558,15877.89,498.0,60,25199.56594194313,10.134582048825104,0.0,-1
559,12519.25,536.0,62,92649.36671270717,11.436577396425246,0.0,-1
560,16149.63,462.0,24,44192.909877425955,10.69631964518574,4.8,19
562,15154.0,522.0,61,52432.05684754522,10.86727345515271,6.0,56
564,9420.06,543.0,24,17967.270534568783,9.796307078122533,30.0,20
566,13516.9,552.0,63,20768.355829982767,9.941185752927087,0.0,-1
